Data,Taxa de câmbio - R$ / US$ - comercial - venda - fim período - R$ - Banco Central do Brasil- Boletim- Seção Balanço de Pagamentos (Bacen / Boletim / BP) - BM12_ERVF12,IPCA - geral - índice (dez. 1993 = 100) - - - Instituto Brasileiro de Geografia e Estatística- Sistema Nacional de Índices de Preços ao Consumidor (IBGE/SNIPC) - PRECOS12_IPCA12,
1957.02,2.41090909090909E-14,,
1957.03,2.37454545454545E-14,,
1957.04,2.49090909090909E-14,,
1957.05,2.67272727272727E-14,,
1957.06,2.58181818181818E-14,,
1957.07,2.68E-14,,
1957.08,2.87272727272727E-14,,
1957.09,2.98181818181818E-14,,
1957.10,3.12727272727273E-14,,
1957.11,3.39272727272727E-14,,
1957.12,3.30181818181818E-14,,
1958.01,3.57454545454545E-14,,
1958.02,3.59272727272727E-14,,
1958.03,3.93818181818182E-14,,
1958.04,4.46545454545455E-14,,
1958.05,4.56363636363636E-14,,
1958.06,4.84727272727273E-14,,
1958.07,4.92E-14,,
1958.08,5.64727272727273E-14,,
1958.09,5.72E-14,,
1958.10,5.19272727272727E-14,,
1958.11,5.02909090909091E-14,,
1958.12,5.12E-14,,
1959.01,5.24727272727273E-14,,
1959.02,5.09090909090909E-14,,
1959.03,5.10909090909091E-14,,
1959.04,5.01818181818182E-14,,
1959.05,4.81454545454545E-14,,
1959.06,5.32363636363636E-14,,
1959.07,5.58181818181818E-14,,
1959.08,5.58181818181818E-14,,
1959.09,5.58181818181818E-14,,
1959.10,5.95272727272727E-14,,
1959.11,6.69454545454545E-14,,
1959.12,6.69454545454545E-14,,
1960.01,6.8E-14,,
1960.02,6.76363636363636E-14,,
1960.03,6.76363636363636E-14,,
1960.04,6.76363636363636E-14,,
1960.05,6.76363636363636E-14,,
1960.06,6.76363636363636E-14,,
1960.07,6.76363636363636E-14,,
1960.08,6.76363636363636E-14,,
1960.09,6.76363636363636E-14,,
1960.10,6.76363636363636E-14,,
1960.11,6.76363636363636E-14,,
1960.12,7.09090909090909E-14,,
1961.01,8E-14,,
1961.02,8E-14,,
1961.03,9.89090909090909E-14,,
1961.04,1.02181818181818E-13,,
1961.05,9.63636363636364E-14,,
1961.06,9.6E-14,,
1961.07,9.6E-14,,
1961.08,1.04727272727273E-13,,
1961.09,1.08363636363636E-13,,
1961.10,1.11636363636364E-13,,
1961.11,1.11636363636364E-13,,
1961.12,1.11636363636364E-13,,
1962.01,1.15636363636364E-13,,
1962.02,1.15636363636364E-13,,
1962.03,1.15636363636364E-13,,
1962.04,1.15636363636364E-13,,
1962.05,1.30581818181818E-13,,
1962.06,1.32727272727273E-13,,
1962.07,1.33454545454545E-13,,
1962.08,1.50909090909091E-13,,
1962.09,1.72727272727273E-13,,
1962.10,1.72727272727273E-13,,
1962.11,1.72727272727273E-13,,
1962.12,1.72727272727273E-13,,
1963.01,1.72727272727273E-13,,
1963.02,1.72727272727273E-13,,
1963.03,1.72727272727273E-13,,
1963.04,2.25454545454545E-13,,
1963.05,2.25454545454545E-13,,
1963.06,2.25454545454545E-13,,
1963.07,2.25454545454545E-13,,
1963.08,2.25454545454545E-13,,
1963.09,2.25454545454545E-13,,
1963.10,2.25454545454545E-13,,
1963.11,2.25454545454545E-13,,
1963.12,2.25454545454545E-13,,
1964.01,2.25454545454545E-13,,
1964.02,4.36363636363636E-13,,
1964.03,4.36363636363636E-13,,
1964.04,4.36363636363636E-13,,
1964.05,4.36363636363636E-13,,
1964.06,4.36363636363636E-13,,
1964.07,4.36363636363636E-13,,
1964.08,4.56363636363636E-13,,
1964.09,5.85454545454545E-13,,
1964.10,5.85454545454545E-13,,
1964.11,5.85454545454545E-13,,
1964.12,6.72727272727273E-13,,
1965.01,6.72727272727273E-13,,
1965.02,6.72727272727273E-13,,
1965.03,6.72727272727273E-13,,
1965.04,6.72727272727273E-13,,
1965.05,6.72727272727273E-13,,
1965.06,6.72727272727273E-13,,
1965.07,6.72727272727273E-13,,
1965.08,6.72727272727273E-13,,
1965.09,6.72727272727273E-13,,
1965.10,6.72727272727273E-13,,
1965.11,8.07272727272727E-13,,
1965.12,8.07272727272727E-13,,
1966.01,8.07272727272727E-13,,
1966.02,8.07272727272727E-13,,
1966.03,8.07272727272727E-13,,
1966.04,8.07272727272727E-13,,
1966.05,8.07272727272727E-13,,
1966.06,8.07272727272727E-13,,
1966.07,8.07272727272727E-13,,
1966.08,8.07272727272727E-13,,
1966.09,8.07272727272727E-13,,
1966.10,8.07272727272727E-13,,
1966.11,8.07272727272727E-13,,
1966.12,8.07272727272727E-13,,
1967.01,8.07272727272727E-13,,
1967.02,9.85454545454545E-13,,
1967.03,9.85454545454545E-13,,
1967.04,9.85454545454545E-13,,
1967.05,9.85454545454545E-13,,
1967.06,9.85454545454545E-13,,
1967.07,9.85454545454545E-13,,
1967.08,9.85454545454545E-13,,
1967.09,9.85454545454545E-13,,
1967.10,9.85454545454545E-13,,
1967.11,9.85454545454545E-13,,
1967.12,9.85454545454545E-13,,
1968.01,1.17090909090909E-12,,
1968.02,1.17090909090909E-12,,
1968.03,1.17090909090909E-12,,
1968.04,1.17090909090909E-12,,
1968.05,1.17090909090909E-12,,
1968.06,1.17090909090909E-12,,
1968.07,1.17090909090909E-12,,
1968.08,1.32727272727273E-12,,
1968.09,1.34545454545455E-12,,
1968.10,1.34545454545455E-12,,
1968.11,1.37090909090909E-12,,
1968.12,1.39272727272727E-12,,
1969.01,1.39272727272727E-12,,
1969.02,1.42909090909091E-12,,
1969.03,1.45454545454545E-12,,
1969.04,1.45454545454545E-12,,
1969.05,1.47272727272727E-12,,
1969.06,1.47272727272727E-12,,
1969.07,1.49090909090909E-12,,
1969.08,1.50909090909091E-12,,
1969.09,1.50909090909091E-12,,
1969.10,1.53090909090909E-12,,
1969.11,1.56E-12,,
1969.12,1.58181818181818E-12,,
1970.01,1.58181818181818E-12,,
1970.02,1.60363636363636E-12,,
1970.03,1.63272727272727E-12,,
1970.04,1.63272727272727E-12,,
1970.05,1.65818181818182E-12,,
1970.06,1.65818181818182E-12,,
1970.07,1.69090909090909E-12,,
1970.08,1.69090909090909E-12,,
1970.09,1.71636363636364E-12,,
1970.10,1.71636363636364E-12,,
1970.11,1.76727272727273E-12,,
1970.12,1.8E-12,,
1971.01,1.8E-12,,
1971.02,1.82909090909091E-12,,
1971.03,1.85818181818182E-12,,
1971.04,1.85818181818182E-12,,
1971.05,1.88909090909091E-12,,
1971.06,1.92181818181818E-12,,
1971.07,1.92181818181818E-12,,
1971.08,1.96545454545455E-12,,
1971.09,2.00181818181818E-12,,
1971.10,2.00181818181818E-12,,
1971.11,2.04909090909091E-12,,
1971.12,2.04909090909091E-12,,
1972.01,2.10363636363636E-12,,
1972.02,2.10363636363636E-12,,
1972.03,2.12545454545455E-12,,
1972.04,2.12545454545455E-12,,
1972.05,2.15090909090909E-12,,
1972.06,2.15090909090909E-12,,
1972.07,2.16909090909091E-12,,
1972.08,2.16909090909091E-12,,
1972.09,2.19090909090909E-12,,
1972.10,2.21636363636364E-12,,
1972.11,2.24181818181818E-12,,
1972.12,2.26E-12,,
1973.01,2.26E-12,,
1973.02,2.19272727272727E-12,,
1973.03,2.19272727272727E-12,,
1973.04,2.21818181818182E-12,,
1973.05,2.21818181818182E-12,,
1973.06,2.21818181818182E-12,,
1973.07,2.22909090909091E-12,,
1973.08,2.22909090909091E-12,,
1973.09,2.24E-12,,
1973.10,2.24E-12,,
1973.11,2.24E-12,,
1973.12,2.26181818181818E-12,,
1974.01,2.26181818181818E-12,,
1974.02,2.34727272727273E-12,,
1974.03,2.34727272727273E-12,,
1974.04,2.30545454545455E-12,,
1974.05,2.30545454545455E-12,,
1974.06,2.47818181818182E-12,,
1974.07,2.50363636363636E-12,,
1974.08,2.55272727272727E-12,,
1974.09,2.59272727272727E-12,,
1974.10,2.62545454545455E-12,,
1974.11,2.66363636363636E-12,,
1974.12,2.70363636363636E-12,,
1975.01,2.74545454545455E-12,,
1975.02,2.77090909090909E-12,,
1975.03,2.81272727272727E-12,,
1975.04,2.85272727272727E-12,,
1975.05,2.9E-12,,
1975.06,2.93454545454545E-12,,
1975.07,2.95636363636364E-12,,
1975.08,3.04E-12,,
1975.09,3.09818181818182E-12,,
1975.10,3.15272727272727E-12,,
1975.11,3.23636363636364E-12,,
1975.12,3.29818181818182E-12,,
1976.01,3.36181818181818E-12,,
1976.02,3.42545454545455E-12,,
1976.03,3.61272727272727E-12,,
1976.04,3.76909090909091E-12,,
1976.05,3.83636363636364E-12,,
1976.06,3.92727272727273E-12,,
1976.07,3.98363636363636E-12,,
1976.08,4.06181818181818E-12,,
1976.09,4.13454545454545E-12,,
1976.10,4.30181818181818E-12,,
1976.11,4.38363636363636E-12,,
1976.12,4.48909090909091E-12,,
1977.01,4.57818181818182E-12,,
1977.02,4.68E-12,,
1977.03,4.74545454545455E-12,,
1977.04,4.86E-12,,
1977.05,5.09090909090909E-12,,
1977.06,5.21818181818182E-12,,
1977.07,5.29454545454545E-12,,
1977.08,5.38545454545455E-12,,
1977.09,5.46181818181818E-12,,
1977.10,5.55454545454545E-12,,
1977.11,5.64909090909091E-12,,
1977.12,5.83636363636364E-12,,
1978.01,5.90909090909091E-12,,
1978.02,5.99818181818182E-12,,
1978.03,6.16181818181818E-12,,
1978.04,6.27818181818182E-12,,
1978.05,6.43636363636364E-12,,
1978.06,6.55636363636364E-12,,
1978.07,6.69454545454545E-12,,
1978.08,6.85454545454545E-12,,
1978.09,7E-12,,
1978.10,7.14181818181818E-12,,
1978.11,7.29090909090909E-12,,
1978.12,7.60727272727273E-12,,
1979.01,7.92363636363636E-12,,
1979.02,8.09090909090909E-12,,
1979.03,8.41090909090909E-12,,
1979.04,8.65090909090909E-12,,
1979.05,9.32909090909091E-12,,
1979.06,9.32909090909091E-12,,
1979.07,9.49636363636364E-12,,
1979.08,1.01E-11,,
1979.09,1.08454545454545E-11,,
1979.10,1.106E-11,,
1979.11,1.16509090909091E-11,,
1979.12,1.54654545454545E-11,7.6183E-09,
1980.01,1.596E-11,8.1223E-09,
1980.02,1.64763636363636E-11,8.4973E-09,
1980.03,1.70181818181818E-11,9.0104E-09,
1980.04,1.784E-11,9.4867E-09,
1980.05,1.84763636363636E-11,1.00277E-08,
1980.06,1.90236363636364E-11,1.05597E-08,
1980.07,1.95927272727273E-11,1.11453E-08,
1980.08,2.03072727272727E-11,1.16965E-08,
1980.09,2.09418181818182E-11,1.21913E-08,
1980.10,2.20690909090909E-11,1.33471E-08,
1980.11,2.27327272727273E-11,1.42378E-08,
1980.12,2.38181818181818E-11,1.51795E-08,
1981.01,2.48872727272727E-11,1.62174E-08,
1981.02,2.61345454545455E-11,1.72555E-08,
1981.03,2.78290909090909E-11,1.81134E-08,
1981.04,2.95818181818182E-11,1.92839E-08,
1981.05,3.13563636363636E-11,2.0356E-08,
1981.06,3.32363636363636E-11,2.14792E-08,
1981.07,3.52290909090909E-11,2.28229E-08,
1981.08,3.73418181818182E-11,2.40772E-08,
1981.09,3.95054545454545E-11,2.53429E-08,
1981.10,4.17563636363636E-11,2.66297E-08,
1981.11,4.40509090909091E-11,2.80335E-08,
1981.12,4.64727272727273E-11,2.96946E-08,
1982.01,4.88872727272727E-11,3.17628E-08,
1982.02,5.13272727272727E-11,3.38708E-08,
1982.03,5.38945454545455E-11,3.58057E-08,
1982.04,5.65854545454545E-11,3.79137E-08,
1982.05,5.96981818181818E-11,4.04382E-08,
1982.06,6.29781818181818E-11,4.33113E-08,
1982.07,6.644E-11,4.6065E-08,
1982.08,7.04254545454545E-11,4.88164E-08,
1982.09,7.53563636363636E-11,5.12964E-08,
1982.10,8.06290909090909E-11,5.35752E-08,
1982.11,8.62727272727273E-11,5.64085E-08,
1982.12,9.188E-11,6.08117E-08,
1983.01,1.00101818181818E-10,6.60665E-08,
1983.02,1.38705454545455E-10,7.12581E-08,
1983.03,1.51832727272727E-10,7.64919E-08,
1983.04,1.65429090909091E-10,8.15245E-08,
1983.05,1.79494545454545E-10,8.68097E-08,
1983.06,1.97443636363636E-10,9.53868E-08,
1983.07,2.22516363636364E-10,1.050003E-07,
1983.08,2.44E-10,1.145671E-07,
1983.09,2.68363636363636E-10,1.263682E-07,
1983.10,3.06181818181818E-10,1.375727E-07,
1983.11,3.32363636363636E-10,1.477314E-07,
1983.12,3.57818181818182E-10,1.605502E-07,
1984.01,3.92727272727273E-10,1.760737E-07,
1984.02,4.41090909090909E-10,1.92802E-07,
1984.03,4.85454545454545E-10,2.100357E-07,
1984.04,5.28363636363636E-10,2.300794E-07,
1984.05,5.75272727272727E-10,2.509021E-07,
1984.06,6.28363636363636E-10,2.761935E-07,
1984.07,6.92727272727273E-10,3.030524E-07,
1984.08,7.66181818181818E-10,3.313854E-07,
1984.09,8.46909090909091E-10,3.703168E-07,
1984.10,9.53454545454545E-10,4.089675E-07,
1984.11,1.04763636363636E-09,4.520168E-07,
1984.12,1.15781818181818E-09,5.061559E-07,
1985.01,1.30363636363636E-09,5.656761E-07,
1985.02,1.43672727272727E-09,6.271382E-07,
1985.03,1.61818181818182E-09,6.908698E-07,
1985.04,1.81090909090909E-09,7.474889E-07,
1985.05,1.99272727272727E-09,8.01277E-07,
1985.06,2.17454545454545E-09,8.693369E-07,
1985.07,2.34181818181818E-09,9.589916E-07,
1985.08,2.53454545454545E-09,1.0745459E-06,
1985.09,2.84545454545455E-09,1.1940075E-06,
1985.10,3.11272727272727E-09,1.3207687E-06,
1985.11,3.4E-09,1.5053189E-06,
1985.12,3.81454545454545E-09,1.7322163E-06,
1986.01,4.42E-09,1.9811765E-06,
1986.02,5.03272727272727E-09,2.233108E-06,
1986.03,5.03272727272727E-09,2.3396314E-06,
1986.04,5.03272727272727E-09,2.3578806E-06,
1986.05,5.03272727272727E-09,2.3908694E-06,
1986.06,5.03272727272727E-09,2.4212846E-06,
1986.07,5.03272727272727E-09,2.462696E-06,
1986.08,5.03272727272727E-09,2.5501983E-06,
1986.09,5.03272727272727E-09,2.5939494E-06,
1986.10,5.12363636363636E-09,2.6433156E-06,
1986.11,5.16218181818182E-09,2.7874369E-06,
1986.12,5.43236363636364E-09,3.1121777E-06,
1987.01,6.01345454545454E-09,3.523251E-06,
1987.02,7.19818181818182E-09,3.9684829E-06,
1987.03,8.05236363636364E-09,4.6181985E-06,
1987.04,9.24872727272727E-09,5.5002395E-06,
1987.05,1.23621818181818E-08,6.6801157E-06,
1987.06,1.57730909090909E-08,7.9968603E-06,
1987.07,1.67349090909091E-08,8.7333762E-06,
1987.08,1.75847272727273E-08,9.1587212E-06,
1987.09,1.8648E-08,9.871373E-06,
1987.10,2.03261818181818E-08,1.09789545E-05,
1987.11,2.29341818181818E-08,1.26344777E-05,
1987.12,2.62730909090909E-08,1.44221901E-05,
1988.01,3.03283636363636E-08,1.7146457E-05,
1988.02,3.58178181818182E-08,1.98384369E-05,
1988.03,4.16545454545455E-08,2.33301029E-05,
1988.04,4.99781818181818E-08,2.7830389E-05,
1988.05,5.916E-08,3.26783343E-05,
1988.06,7.07745454545454E-08,3.98675537E-05,
1988.07,8.79018181818182E-08,4.86025677E-05,
1988.08,1.0636E-07,5.90958147E-05,
1988.09,1.31992727272727E-07,7.53176493E-05,
1988.10,1.68487272727273E-07,9.46139936E-05,
1988.11,2.13843636363636E-07,0.0001210492553,
1988.12,2.78290909090909E-07,0.0001557904426,
1989.01,3.63636363636364E-07,0.0002141963,
1989.02,3.63636363636364E-07,0.0002501384201,
1989.03,3.63636363636364E-07,0.0002671978428,
1989.04,3.75272727272727E-07,0.0002894554586,
1989.05,4.19272727272727E-07,0.0003413257896,
1989.06,5.52363636363636E-07,0.0004391155989,
1989.07,7.87636363636364E-07,0.0005609261703,
1989.08,1.01890909090909E-06,0.0007500144816,
1989.09,1.38072727272727E-06,0.001031719911,
1989.10,1.9E-06,0.0014420348808,
1989.11,2.67927272727273E-06,0.0021316159803,
1989.12,4.13018181818182E-06,0.0032293981927,
1990.01,6.44763636363636E-06,0.0054108567454,
1990.02,1.11403636363636E-05,0.0095084984833,
1990.03,1.54763636363636E-05,0.017342550351,
1990.04,1.86338181818182E-05,0.0200341140678,
1990.05,2.00796363636364E-05,0.0215547032441,
1990.06,2.21898181818182E-05,0.0240873809519,
1990.07,2.50872727272727E-05,0.027199470492,
1990.08,2.60632727272727E-05,0.0307027623187,
1990.09,3.06265454545455E-05,0.0351270304097,
1990.10,3.88909090909091E-05,0.0401712720553,
1990.11,5.26218181818182E-05,0.0469240627842,
1990.12,6.184E-05,0.0555768600186,
1991.01,8.00509090909091E-05,0.0671090584724,
1991.02,8.12472727272727E-05,0.0810143888491,
1991.03,8.68836363636364E-05,0.0906736471203,
1991.04,9.48109090909091E-05,0.0951976035258,
1991.05,0.000103527272727273,0.1022725378062,
1991.06,0.000113534545454545,0.113715813284,
1991.07,0.000126025454545455,0.1278267780427,
1991.08,0.000143185454545455,0.1478066592194,
1991.09,0.000169065454545455,0.1709099599291,
1991.10,0.000234552727272727,0.2054843245466,
1991.11,0.0003056,0.2572875157699,
1991.12,0.000388654545454545,0.3182886773263,
1992.01,0.0004798,0.4008536605699,
1992.02,0.000593036363636364,0.4983410307284,
1992.03,0.000722909090909091,0.6049874674181,
1992.04,0.000871309090909091,0.7255614652283,
1992.05,0.00103603636363636,0.9059361644186,
1992.06,0.00125334545454545,1.0890285720637,
1992.07,0.00152894545454545,1.3267641484791,
1992.08,0.00186581818181818,1.6205100844213,
1992.09,0.00232727272727273,2.0196408623306,
1992.10,0.00292149090909091,2.5293973801068,
1992.11,0.00361814545454545,3.0982598885128,
1992.12,0.00450454545454545,3.88025965509,
1993.01,0.00571636363636364,5.0579166458253,
1993.02,0.00722109090909091,6.3213843084293,
1993.03,0.00913490909090909,8.0445948724789,
1993.04,0.0117338181818182,10.2769672819025,
1993.05,0.0151636363636364,13.1226581300609,
1993.06,0.0197585454545455,17.0686429798089,
1993.07,0.0258738181818182,22.3121307612362,
1993.08,0.0344189090909091,29.6662109364145,
1993.09,0.0465709090909091,40.2540807309468,
1993.10,0.0632727272727273,53.9082648348533,
1993.11,0.0858109090909091,73.078046584524,
1993.12,0.118583636363636,100,
1994.01,0.166785454545455,141.31,
1994.02,0.2318,198.22,
1994.03,0.332125454545455,282.96,
1994.04,0.473556363636364,403.73,
1994.05,0.681916363636364,581.49,
1994.06,1,857.29,
1994.07,0.94,915.93,
1994.08,0.889,932.97,
1994.09,0.853,947.24,
1994.10,0.846,972.06,
1994.11,0.845,999.37,
1994.12,0.846,1016.46,
1995.01,0.842,1033.74,
1995.02,0.8515,1044.28,
1995.03,0.896,1060.47,
1995.04,0.913,1086.24,
1995.05,0.906,1115.24,
1995.06,0.922,1140.44,
1995.07,0.936,1167.35,
1995.08,0.951,1178.91,
1995.09,0.954,1190.58,
1995.10,0.9619,1207.37,
1995.11,0.9666,1225.12,
1995.12,0.9725,1244.23,
1996.01,0.9786,1260.9,
1996.02,0.9842,1273.89,
1996.03,0.988,1278.35,
1996.04,0.9925,1294.46,
1996.05,0.9984,1310.25,
1996.06,1.0044,1325.84,
1996.07,1.0112,1340.56,
1996.08,1.0169,1346.46,
1996.09,1.0215,1348.48,
1996.10,1.0276,1352.53,
1996.11,1.0332,1356.86,
1996.12,1.0394,1363.24,
1997.01,1.0461,1379.33,
1997.02,1.0515,1386.23,
1997.03,1.0593,1393.3,
1997.04,1.0638,1405.56,
1997.05,1.0717,1411.32,
1997.06,1.0769,1418.94,
1997.07,1.0834,1422.06,
1997.08,1.0916,1421.78,
1997.09,1.0964,1422.63,
1997.10,1.1031,1425.9,
1997.11,1.1098,1428.32,
1997.12,1.1164,1434.46,
1998.01,1.1237,1444.64,
1998.02,1.1374,1451.29,
1998.03,1.1374,1456.22,
1998.04,1.1443,1459.71,
1998.05,1.1505,1467.01,
1998.06,1.1569,1467.3,
1998.07,1.1634,1465.54,
1998.08,1.1769,1458.07,
1998.09,1.1856,1454.86,
1998.10,1.1932,1455.15,
1998.11,1.2012,1453.4,
1998.12,1.2087,1458.2,
1999.01,1.9832,1468.41,
1999.02,2.0648,1483.83,
1999.03,1.722,1500.15,
1999.04,1.6607,1508.55,
1999.05,1.724,1513.08,
1999.06,1.7695,1515.95,
1999.07,1.7892,1532.47,
1999.08,1.9159,1541.05,
1999.09,1.9223,1545.83,
1999.10,1.953,1564.23,
1999.11,1.9227,1579.09,
1999.12,1.789,1588.56,
2000.01,1.8024,1598.41,
2000.02,1.7685,1600.49,
2000.03,1.7473,1604.01,
2000.04,1.8067,1610.75,
2000.05,1.8266,1610.91,
2000.06,1.8,1614.62,
2000.07,1.7748,1640.62,
2000.08,1.8234,1662.11,
2000.09,1.8437,1665.93,
2000.10,1.909,1668.26,
2000.11,1.9596,1673.6,
2000.12,1.9554,1683.47,
2001.01,1.9711,1693.07,
2001.02,2.0452,1700.86,
2001.03,2.1616,1707.32,
2001.04,2.1847,1717.22,
2001.05,2.36,1724.26,
2001.06,2.3049,1733.23,
2001.07,2.4313,1756.28,
2001.08,2.5517,1768.57,
2001.09,2.6713,1773.52,
2001.10,2.7071,1788.24,
2001.11,2.5287,1800.94,
2001.12,2.3204,1812.65,
2002.01,2.4183,1822.08,
2002.02,2.3482,1828.64,
2002.03,2.3236,1839.61,
2002.04,2.3625,1854.33,
2002.05,2.522,1858.22,
2002.06,2.8444,1866.02,
2002.07,3.4285,1888.23,
2002.08,3.0223,1900.5,
2002.09,3.8949,1914.18,
2002.10,3.645,1939.26,
2002.11,3.6365,1997.83,
2002.12,3.5333,2039.78,
2003.01,3.5258,2085.68,
2003.02,3.5632,2118.43,
2003.03,3.3531,2144.49,
2003.04,2.8898,2165.29,
2003.05,2.9656,2178.5,
2003.06,2.872,2175.23,
2003.07,2.9655,2179.58,
2003.08,2.9665,2186.99,
2003.09,2.9234,2204.05,
2003.10,2.8562,2210.44,
2003.11,2.9494,2217.96,
2003.12,2.8892,2229.49,
2004.01,2.9409,2246.43,
2004.02,2.9138,2260.13,
2004.03,2.9086,2270.75,
2004.04,2.9447,2279.15,
2004.05,3.1291,2290.77,
2004.06,3.1075,2307.03,
2004.07,3.0268,2328.02,
2004.08,2.9338,2344.08,
2004.09,2.8586,2351.82,
2004.10,2.8565,2362.17,
2004.11,2.7307,2378.47,
2004.12,2.6544,2398.92,
2005.01,2.6248,2412.83,
2005.02,2.595,2427.07,
2005.03,2.6662,2441.87,
2005.04,2.5313,2463.11,
2005.05,2.4038,2475.18,
2005.06,2.3504,2474.68,
2005.07,2.3905,2480.87,
2005.08,2.3637,2485.09,
2005.09,2.2222,2493.79,
2005.10,2.2543,2512.49,
2005.11,2.207,2526.31,
2005.12,2.3407,2535.4,
2006.01,2.216,2550.36,
2006.02,2.1355,2560.82,
2006.03,2.1724,2571.83,
2006.04,2.0892,2577.23,
2006.05,2.3005,2579.81,
2006.06,2.1643,2574.39,
2006.07,2.1762,2579.28,
2006.08,2.1388,2580.57,
2006.09,2.1742,2585.99,
2006.10,2.143,2594.52,
2006.11,2.1668,2602.56,
2006.12,2.138,2615.05,
2007.01,2.1247,2626.56,
2007.02,2.1182,2638.12,
2007.03,2.0504,2647.88,
2007.04,2.0339,2654.5,
2007.05,1.9289,2661.93,
2007.06,1.9262,2669.38,
2007.07,1.8776,2675.79,
2007.08,1.962,2688.37,
2007.09,1.8389,2693.21,
2007.10,1.744,2701.29,
2007.11,1.7837,2711.55,
2007.12,1.7713,2731.62,
2008.01,1.7603,2746.37,
2008.02,1.6833,2759.83,
2008.03,1.7491,2773.08,
2008.04,1.6872,2788.33,
2008.05,1.6294,2810.36,
2008.06,1.5919,2831.16,
2008.07,1.5666,2846.16,
2008.08,1.6344,2854.13,
2008.09,1.9143,2861.55,
2008.10,2.1153,2874.43,
2008.11,2.3331,2884.78,
2008.12,2.337,2892.86,
2009.01,2.3162,2906.74,
2009.02,2.3784,2922.73,
2009.03,2.3152,2928.57,
2009.04,2.1783,2942.63,
2009.05,1.973,2956.46,
2009.06,1.9516,2967.1,
2009.07,1.8726,2974.22,
2009.08,1.8864,2978.68,
2009.09,1.7781,2985.83,
2009.10,1.744,2994.19,
2009.11,1.7505,3006.47,
2009.12,1.7412,3017.59,
2010.01,1.8748,3040.22,
2010.02,1.811,3063.93,
2010.03,1.781,3079.86,
2010.04,1.7306,3097.42,
2010.05,1.8167,3110.74,
2010.06,1.8015,3110.74,
2010.07,1.7572,3111.05,
2010.08,1.756,3112.29,
2010.09,1.6942,3126.29,
2010.10,1.7014,3149.74,
2010.11,1.7161,3175.88,
2010.12,1.6662,3195.89,
2011.01,1.6734,3222.42,
2011.02,1.6612,3248.2,
2011.03,1.6287,3273.86,
2011.04,1.5733,3299.07,
2011.05,1.5799,3314.58,
2011.06,1.5611,3319.55,
2011.07,1.5563,3324.86,
2011.08,1.5872,3337.16,
2011.09,1.8544,3354.85,
2011.10,1.6885,3369.28,
2011.11,1.8109,3386.8,
2011.12,1.8758,3403.73,
2012.01,1.7391,3422.79,
2012.02,1.7092,3438.19,
2012.03,1.8221,3445.41,
2012.04,1.8918,3467.46,
2012.05,2.0223,3479.94,
2012.06,2.0213,3482.72,
2012.07,2.0499,3497.7,
2012.08,2.0372,3512.04,
2012.09,2.0306,3532.06,
2012.10,2.0313,3552.9,
2012.11,2.1074,3574.22,
2012.12,2.0435,3602.46,
2013.01,1.9883,3633.44,
2013.02,1.9754,3655.24,
2013.03,2.0138,3672.42,
2013.04,2.0017,3692.62,
2013.05,2.1319,3706.28,
2013.06,2.2156,3715.92,
2013.07,2.2903,3717.03,
2013.08,2.3725,3725.95,
2013.09,2.23,3738.99,
2013.10,2.2026,3760.3,
2013.11,2.3249,3780.61,
2013.12,2.3426,3815.39,
